topic,topic_talkid
language,164
psychology,164
Social_Science,164
business,163
culture,163
global_issues,163
media,163
sociology,163
violence,163
war,163
entertainment,171
film,171
global_issues,171
storytelling,171
technology,171
war,171
Africa,168
anthropology,168
exploration,168
global_issues,168
human_origins,168
humanity,168
paleontology,168
science,168
art,172
design,172
simplicity,172
technology,172
climate_change,167
future,167
global_issues,167
humanity,167
space,167
technology,167
solar_system,167
science,167
asteroid,167
alternative_energy,176
business,176
design,176
drones,176
energy,176
flight,176
invention,176
technology,176
solar_energy,176
NASA,178
Planets,178
design,178
exploration,178
science,178
space,178
technology,178
universe,178
visualizations,178
solar_system,178
culture,179
dance,179
entertainment,179
performance,179
aircraft,181
business,181
entertainment,181
entrepreneur,181
global_issues,181
interview,181
music,181
space,181
technology,181
AI,165
cognitive_science,165
demo,165
design,165
evolution,165
robots,165
technology,165
art,182
children,182
culture,182
design,182
entertainment,182
happiness,182
cities,190
communication,190
culture,190
design,190
global_issues,190
technology,190
telecom,190
brain,184
consciousness,184
culture,184
illness,184
illusion,184
science,184
technology,184
business,185
economics,185
food,185
global_issues,185
technology,185
women_in_business,185
markets,185
brain,189
depression,189
health_care,189
illness,189
medicine,189
mental_health,189
science,189
suicide,189
technology,189
Buddhism,191
God,191
brain,191
culture,191
faith,191
global_issues,191
happiness,191
peace,191
photography,191
religion,191
psychology,191
evolutionary_psychology,191
emotions,191
mindfulness,191
business,187
creativity,187
entertainment,187
law,187
technology,187
DNA,183
MacArthur_grant,183
complexity,183
computers,183
science,183
business,192
china,192
climate_change,192
engineering,192
global_issues,192
science,192
technology,192
biodiversity,193
biotech,193
business,193
energy,193
science,193
technology,193
climate_change,177
culture,177
global_issues,177
health,177
peace,177
Best_of_the_Web,177
design,195
evolution,195
robots,195
science,195
technology,195
Africa,198
architecture,198
culture,198
design,198
math,198
technology,198
design,197
humanity,197
humor,197
philosophy,197
storytelling,197
String_theory,194
physics,194
science,194
storytelling,194
technology,194
MacArthur_grant,51
business,51
economics,51
energy,51
environment,51
green,51
science,51
technology,51
education,199
entertainment,199
magic,199
math,199
performance,199
brain,200
community,200
compassion,200
empathy,200
psychology,200
communication,201
community,201
parenting,201
relationships,201
writing,201
children,202
design,202
entertainment,202
parenting,202
play,202
sports,202
technology,202
entertainment,204
global_issues,204
love,204
parenting,204
storytelling,204
women,204
world_cultures,204
South_America,204
comedy,203
humor,203
ants,145
biology,145
collaboration,145
design,145
insects,145
science,145
entertainment,205
film,205
humor,205
storytelling,205
technology,205
movies,205
animals,206
evolution,206
exploration,206
fish,206
oceans,206
science,206
technology,206
marine_biology,206
art,207
culture,207
design,207
museums,207
graphic_design,207
architecture,13
business,13
creativity,13
culture,13
design,13
interview,13
invention,13
culture,188
entertainment,188
guitar,188
music,188
singer,188
technology,188
live_music,188
performance,188
MacArthur_grant,209
activism,209
children,209
cities,209
culture,209
philanthropy,209
live_music,209
culture,208
education,208
entertainment,208
library,208
literature,208
race,208
storytelling,208
entertainment,196
humor,196
music,196
technology,196
art,210
culture,210
entertainment,210
photography,210
business,211
community,211
culture,211
global_issues,211
philanthropy,211
philosophy,211
technology,211
business,212
cars,212
cities,212
technology,212
transportation,212
Brazil,213
cities,213
culture,213
design,213
green,213
humor,213
sustainability,213
transportation,213
infrastructure,213
South_America,213
MacArthur_grant,215
ancient_world,215
art,215
cities,215
communication,215
culture,215
design,215
humor,215
books,215
animals,214
bees,214
business,214
culture,214
evolution,214
food,214
garden,214
global_issues,214
science,214
plants,214
ecology,214
business,216
collaboration,216
communication,216
community,216
culture,216
global_issues,216
humanity,216
wikipedia,216
live_music,218
music,218
performance,218
technology,218
NASA,221
Planets,221
future,221
history,221
physics,221
rocket_science,221
science,221
space,221
storytelling,221
technology,221
architecture,219
cities,219
collaboration,219
creativity,219
design,219
museums,219
visualizations,219
collaboration,222
entertainment,222
guitar,222
humor,222
singer,222
storytelling,222
comedy,222
collaboration,223
entertainment,223
humor,223
physics,223
Africa,220
collaboration,220
culture,220
global_issues,220
politics,220
children,225
design,225
entertainment,225
parenting,225
photography,225
rocket_science,225
space,225
toy,225
astronomy,224
collaboration,224
demo,224
science,224
technology,224
universe,224
telescopes,224
children,228
collaboration,228
computers,228
design,228
technology,228
alternative_energy,227
creativity,227
energy,227
genetics,227
global_issues,227
invention,227
science,227
technology,227
demo,230
design,230
entertainment,230
future,230
interface_design,230
media,230
technology,230
movies,230
biology,229
brain,229
consciousness,229
global_issues,229
illness,229
science,229
architecture,231
collaboration,231
design,231
global_issues,231
technology,231
TED_Prize,233
activism,233
children,233
collaboration,233
culture,233
design,233
education,233
entertainment,233
global_issues,233
writing,233
teaching,233
TED_Prize,234
collaboration,234
faith,234
global_issues,234
religion,234
Africa,232
TED_Prize,232
education,232
math,232
physics,232
science,232
technology,232
architecture,174
cities,174
green,174
Best_of_the_Web,174
biology,236
brain,236
business,236
demo,236
medicine,236
science,236
technology,236
visualizations,236
culture,237
education,237
science,237
technology,237
web,237
art,235
demo,235
design,235
entertainment,235
history,235
technology,235
education,239
history,239
math,239
science,239
space,239
technology,239
war,239
art,241
demo,241
design,241
entertainment,241
film,241
music,241
online_video,241
visualizations,241
animation,241
String_theory,242
evolution,242
math,242
physics,242
science,242
time,242
universe,242
activism,243
climate_change,243
global_issues,243
science,243
business,245
demo,245
design,245
education,245
entertainment,245
gaming,245
hack,245
technology,245
creativity,246
demo,246
design,246
entertainment,246
health_care,246
live_music,246
music,246
technology,246
writing,246
Google,247
business,247
collaboration,247
economics,247
law,247
social_change,247
technology,247
wikipedia,247
Africa,249
activism,249
global_issues,249
health,249
health_care,249
heart_health,249
public_health,249
science,249
global_development,249
culture,250
entertainment,250
storytelling,250
writing,250
String_theory,251
physics,251
science,251
universe,251
entertainment,254
humor,254
music,254
live_music,254
performance,254
String_theory,253
big_bang,253
education,253
physics,253
science,253
technology,253
quantum_physics,253
Africa,255
education,255
global_issues,255
philanthropy,255
technology,255
biology,258
design,258
food,258
global_issues,258
pollution,258
science,258
technology,258
fungi,258
bacteria,259
biology,259
disease,259
evolution,259
global_issues,259
health,259
illness,259
medicine,259
microbiology,259
science,259
MacArthur_grant,260
dance,260
entertainment,260
math,260
music,260
physics,260
sports,260
animals,261
design,261
hack,261
intelligence,261
interface_design,261
technology,261
Google,248
business,248
economics,248
entertainment,248
global_issues,248
media,248
news,248
environment,263
food,263
green,263
obesity,263
sustainability,263
Best_of_the_Web,263
adventure,264
animals,264
biodiversity,264
education,264
exploration,264
fish,264
oceans,264
science,264
submarine,264
business,266
computers,266
creativity,266
design,266
sex,266
society,266
art,267
design,267
engineering,267
entertainment,267
humor,267
philosophy,267
activism,268
design,268
health,268
health_care,268
invention,268
public_health,268
technology,268
Africa,270
activism,270
business,270
economics,270
global_issues,270
politics,270
poverty,270
global_development,270
inequality,270
brain,269
culture,269
design,269
evolution,269
meme,269
technology,269
animals,271
dinosaurs,271
entertainment,271
exploration,271
fish,271
humor,271
photography,271
archaeology,271
anthropology,273
beauty,273
culture,273
faith,273
global_issues,273
photography,273
religion,273
indigenous_peoples,273
culture,276
global_issues,276
history,276
language,276
physics,276
art,279
beauty,279
business,279
culture,279
photography,279
plastic,279
statistics,279
computers,278
engineering,278
history,278
library,278
military,278
science,278
software,278
technology,278
aging,252
genetics,252
health,252
health_care,252
medicine,252
science,252
animals,280
design,280
evolution,280
robots,280
science,280
technology,280
transportation,280
Vaccines,285
design,285
food,285
global_issues,285
invention,285
medicine,285
technology,285
business,30
cars,30
culture,30
economics,30
parenting,30
statistics,30
transportation,30
conducting,286
creativity,286
culture,286
entertainment,286
live_music,286
music,286
performance,286
activism,288
computers,288
design,288
technology,288
Best_of_the_Web,288
culture,287
entertainment,287
genetics,287
live_music,287
piano,287
science,287
singer,287
business,292
flight,292
science,292
space,292
technology,292
universe,292
art,297
children,297
family,297
global_issues,297
media,297
photography,297
storytelling,297
Best_of_the_Web,297
entertainment,298
guitar,298
music,298
peace,298
singer,298
storytelling,298
performance,298
live_music,298
Africa,299
activism,299
animals,299
biodiversity,299
trees,299
war,299
ecology,299
animals,300
biomechanics,300
demo,300
design,300
entertainment,300
gaming,300
technology,300
virtual_reality,300
animation,300
culture,282
film,282
library,282
personal_growth,282
storytelling,282
movies,282
business,274
cognitive_science,274
collaboration,274
culture,274
social_change,274
society,274
technology,274
entertainment,296
humor,296
love,296
music,296
piano,296
women,296
live_music,296
performance,296
Planets,306
astronomy,306
biotech,306
exploration,306
extraterrestrial_life,306
physics,306
science,306
technology,306
universe,306
astrobiology,306
brain,307
cognitive_science,307
culture,307
literature,307
love,307
poetry,307
psychology,307
relationships,307
science,307
technology,307
Christianity,308
God,308
death,308
faith,308
religion,308
technology,308
culture,301
entertainment,301
humanity,301
humor,301
religion,301
writing,301
comedy,301
Best_of_the_Web,301
brain,310
entertainment,310
illusion,310
magic,310
brain,312
education,312
happiness,312
psychology,312
science,312
technology,312
personality,312
introvert,312
evolutionary_psychology,312
emotions,312
Africa,313
art,313
business,313
design,313
Africa,294
culture,294
entertainment,294
humanity,294
humor,294
literature,294
poetry,294
writing,294
Africa,315
ancient_world,315
anthropology,315
apes,315
evolution,315
human_origins,315
humanity,315
paleontology,315
science,315
art,316
culture,316
entertainment,316
global_issues,316
happiness,316
software,316
storytelling,316
web,316
architecture,318
art,318
business,318
design,318
humor,318
communication,319
complexity,319
future,319
technology,319
web,319
Best_of_the_Web,319
art,321
design,321
engineering,321
math,321
origami,321
space,321
brain,320
complexity,320
computers,320
design,320
engineering,320
science,320
technology,320
visualizations,320
cello,322
entertainment,322
music,322
origami,322
live_music,322
astronomy,326
big_bang,326
dark_matter,326
education,326
energy,326
physics,326
science,326
time,326
universe,326
telescopes,326
Africa,323
DNA,323
anthropology,323
culture,323
evolution,323
genetics,323
race,323
science,323
diversity,323
indigenous_peoples,323
animals,324
culture,324
design,324
entertainment,324
global_issues,324
photography,324
storytelling,324
entertainment,327
humor,327
illusion,327
magic,327
animals,328
brain,328
children,328
psychology,328
Best_of_the_Web,328
animals,325
entertainment,325
live_music,325
music,325
piano,325
entertainment,329
live_music,329
music,329
performance,329
piano,329
technology,329
Best_of_the_Web,329
children,175
cities,175
culture,175
education,175
global_issues,175
teaching,175
Best_of_the_Web,175
Africa,330
activism,330
global_issues,330
identity,330
media,330
technology,330
animals,334
education,334
entertainment,334
performance,334
DNA,331
MacArthur_grant,331
creativity,331
nanoscale,331
physics,331
science,331
technology,331
business,335
design,335
exploration,335
science,335
space,335
technology,335
business,339
history,339
media,339
technology,339
telecom,339
television,339
Best_of_the_Web,339
education,333
illusion,333
media,333
science,333
technology,333
Africa,340
animals,340
biodiversity,340
environment,340
global_issues,340
pollution,340
primates,340
science,340
global_issues,344
history,344
medicine,344
technology,344
war,344
design,346
entertainment,346
film,346
history,346
library,346
media,346
music,346
technology,346
web,346
books,346
Best_of_the_Web,346
animals,343
geology,343
life,343
oceans,343
science,343
submarine,343
technology,343
marine_biology,343
children,347
entertainment,347
memory,347
storytelling,347
animals,345
energy,345
entertainment,345
global_issues,345
sex,345
transportation,345
children,348
economics,348
education,348
food,348
global_issues,348
green,348
Best_of_the_Web,348
brain,341
culture,341
evolution,341
global_issues,341
morality,341
politics,341
psychology,341
evolutionary_psychology,341
activism,217
culture,217
global_issues,217
spoken_word,217
technology,217
violence,217
war,217
women,217
business,353
invention,353
investment,353
presentation,353
technology,353
brain,351
health,351
humanity,351
humor,351
science,351
technology,351
psychology,351
evolutionary_psychology,351
children,272
crime,272
culture,272
education,272
evil,272
global_issues,272
peace,272
prison,272
psychology,272
communication,349
culture,349
happiness,349
parenting,349
children,350
design,350
dinosaurs,350
entertainment,350
happiness,350
invention,350
play,350
technology,350
toy,350
Best_of_the_Web,350
brain,354
children,354
culture,354
language,354
philosophy,354
psychology,354
science,354
books,354
AI,355
design,355
humanity,355
intelligence,355
robots,355
technology,355
art,356
design,356
education,356
happiness,356
humor,356
work,356
culture,358
democracy,358
global_issues,358
politics,358
religion,358
social_change,358
society,358
war,358
architecture,359
art,359
cities,359
design,359
theater,359
Best_of_the_Web,359
TED_Prize,360
communication,360
design,360
media,360
photography,360
technology,360
art,360
business,361
design,361
entertainment,361
gaming,361
technology,361
entertainment,363
history,363
politics,363
sports,363
storytelling,363
work-life_balance,363
cities,362
communication,362
community,362
design,362
global_issues,362
web,362
entertainment,364
humor,364
illusion,364
live_music,364
music,364
performance,364
physics,371
science,371
technology,371
art,372
brain,372
design,372
museums,372
graphic_design,372
beauty,375
business,375
culture,375
entertainment,375
illusion,375
marketing,375
performance,375
health,377
health_care,377
medicine,377
science,377
entertainment,374
extraterrestrial_life,374
humor,374
love,374
physics,374
science,374
time,374
comedy,374
movies,374
demo,379
design,379
drones,379
flight,379
green,379
technology,379
transportation,379
solar_energy,379
culture,366
global_issues,366
happiness,366
music,366
psychology,366
work,366
AIDS,381
Africa,381
activism,381
disease,381
global_issues,381
health,381
media,381
photography,381
science,381
HIV,381
culture,365
environment,365
global_issues,365
history,365
social_change,365
society,365
technology,365
design,383
entertainment,383
humor,383
love,383
media,383
poetry,383
storytelling,383
business,385
creativity,385
design,385
industrial_design,385
invention,385
materials,385
science,385
smell,385
technology,385
toy,385
Africa,386
creativity,386
culture,386
entertainment,386
film,386
global_issues,386
war,386
charter_for_compassion,673
compassion,673
global_issues,673
religion,673
charter_for_compassion,674
compassion,674
global_issues,674
religion,674
self,674
charter_for_compassion,675
compassion,675
faith,675
global_issues,675
life,675
religion,675
charter_for_compassion,676
compassion,676
global_issues,676
religion,676
charter_for_compassion,677
compassion,677
global_issues,677
love,677
religion,677
self,677
charter_for_compassion,679
compassion,679
evolution,679
global_issues,679
business,388
design,388
exploration,388
invention,388
oceans,388
technology,388
global_commons,388
culture,390
entertainment,390
media,390
social_change,390
social_media,390
technology,390
activism,391
environment,391
global_issues,391
art,392
creativity,392
design,392
education,392
play,392
toy,392
Best_of_the_Web,392
Senses,393
beauty,393
happiness,393
materials,393
science,393
smell,393
technology,393
String_theory,394
community,394
global_issues,394
physics,394
politics,394
science,394
social_change,394
communication,395
global_issues,395
morality,395
politics,395
terrorism,395
war,395
Planets,399
design,399
exploration,399
physics,399
robots,399
science,399
space,399
technology,399
solar_system,399
Mars,399
Best_of_the_Web,399
art,400
design,400
entertainment,400
humor,400
performance,400
simplicity,400
comedy,400
architecture,402
art,402
design,402
future,402
technology,402
business,396
creativity,396
design,396
entertainment,396
fashion,396
humor,396
media,396
Africa,403
creativity,403
culture,403
entertainment,403
film,403
global_issues,403
media,403
technology,403
movies,403
astronomy,404
culture,404
dark_matter,404
design,404
physics,404
science,404
space,404
technology,404
time,404
telescopes,404
Best_of_the_Web,404
business,405
future,405
health,405
science,405
technology,405
entertainment,406
food,406
global_issues,406
sustainability,406
Best_of_the_Web,406
business,407
climate_change,407
design,407
entertainment,407
global_issues,407
humor,407
media,407
sex,407
aging,408
brain,408
business,408
health,408
public_health,408
science,408
social_change,408
technology,408
"""Alzheimer",408
"s""",408
complexity,409
exploration,409
nature,409
science,409
trees,409
writing,409
fungi,409
cities,410
communication,410
community,410
computers,410
entertainment,410
entrepreneur,410
life,410
technology,410
virtual_reality,410
Best_of_the_Web,410
alternative_energy,411
cars,411
design,411
energy,411
future,411
green,411
technology,411
demo,412
design,412
entertainment,412
invention,412
technology,412
animation,412
culture,413
entertainment,413
invention,413
music,413
storytelling,413
live_music,413
demo,413
creativity,414
design,414
exploration,414
play,414
art,414
animals,416
bees,416
disease,416
food,416
insects,416
life,416
nature,416
Best_of_the_Web,416
business,418
culture,418
design,418
entertainment,418
entrepreneur,418
innovation,418
invention,418
library,418
technology,418
books,418
3D_printing,418
brain,420
choice,420
culture,420
entertainment,420
goal-setting,420
happiness,420
psychology,420
self,420
society,420
business,419
culture,419
entertainment,419
food,419
happiness,419
writing,419
books,419
Best_of_the_Web,419
Planets,421
exploration,421
extraterrestrial_life,421
geology,421
life,421
